manufacturer,model,serial number,manufactured_date,device_type,_outlier_reason
Edan Instruments,iT20,M19413130060,2019,Patient Monitor,
Edan Instruments,iT20,M19413130011,2019,Patient Monitor,
Edan Instruments,iT20,M19413130027,2019,Patient Monitor,
Edan Instruments,iT20,M19413130015,2019,Patient Monitor,
Edan Instruments,iT20,M19706920013,2019,Patient Monitor,
Edan Instruments,iT20,M19413130013,2019,Patient Monitor,
Edan Instruments,iT20,M19413130052,2019,Patient Monitor,
Masimo,RAD8,M192824,2019,Patient Monitor,
Masimo,RAD8,M192444,2019,Patient Monitor,
Masimo,RAD8,M192465,2019,Patient Monitor,
Masimo,RAD8,M192344,2019,Patient Monitor,
ZOLL Medical,RSERIES,AF19A091958,January 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19B092952,February 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19B092950,February 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19B092199,February 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19B092935,February 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19B092455,February 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19B092465,February 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19B092949,February 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19B092928,February 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19B092207,February 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19B092946,February 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19B092943,February 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19B092936,February 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19B092428,February 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19B092467,February 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19B092223,February 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19B092456,February 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19B092482,February 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19B092446,February 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19D096889,April 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19E096912,May 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19F099133,June 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19F099132,June 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19F099189,June 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19F099267,June 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19F099254,June 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19F099305,June 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19F099263,June 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19F099134,June 2019,Defibrillator,
ZOLL Medical,R Series ALS,AF19F099298,June 2019,Defibrillator,
ZOLL Medical,AEDPLUS,(21) X19G176549,July 2019,Defibrillator,
Edan Instruments,IM3,262096-M20706520060,2020,"Device, Monitoring, Intracranial Pressure",
Edan Instruments,IM3,261436-M20903720061,2020,"Device, Monitoring, Intracranial Pressure",
Edan Instruments,IM3,261436-M20903720005,2020,"Device, Monitoring, Intracranial Pressure",
Edan Instruments,IM70,260066-M20320530023,2020,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,260066-M20320530024,2020,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,260066-M20320530007,2020,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,IM70,260066-M20320530030,2020,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Edan Instruments,iT20,M2012320037,2020,Patient Monitor,
Edan Instruments,iT20,M20403290003,2020,Patient Monitor,
Edan Instruments,iT20,M20403290001,2020,Patient Monitor,
LINET,ELEGANZA 3,20200275616,2020,Hospital Bed,
Welch Allyn,FILAC3000,A2053244X,2020,Thermometer,
Welch Allyn,FILAC3000,A202057084X,2020,Thermometer,
Welch Allyn,FILAC3000,A2060906X,2020,Thermometer,
Welch Allyn,FILAC3000,A2066575X,2020,Thermometer,
Welch Allyn,FILAC3000,A2057370X,2020,Thermometer,
Welch Allyn,FILAC3000,A2055074X,2020,Thermometer,
Welch Allyn,FILAC3000,A2057912X,2020,Thermometer,
Welch Allyn,FILAC3000,A2057043X,2020,Thermometer,
Welch Allyn,FILAC3000,A2062842X,2020,Thermometer,
Welch Allyn,FILAC3000,A2060107X,2020,Thermometer,
Welch Allyn,FILAC3000,A2066567X,2020,Thermometer,
Welch Allyn,FILAC3000,A2057032X,2020,Thermometer,
Welch Allyn,FILAC3000,A206611345X,2020,Thermometer,
Welch Allyn,FILAC3000,A2066565X,2020,Thermometer,
Welch Allyn,FILAC3000,A2055919X,2020,Thermometer,
ZOLL Medical,X Series,AR20A045649,January 2020,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,X Series,AR20A045327,January 2020,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,X Series,AR20B046467,February 2020,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,X Series,AR20C047049,March 2020,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,X Series,AR20C047039,March 2020,Automated External Defibrillators (Non-Wearable),
Edan Instruments,F9EXPRESS,560039-M21C11330002,2021,Fetal Monitor,
Edan Instruments,IM3,261436-M21508650086,2021,"Device, Monitoring, Intracranial Pressure",
Edan Instruments,IM3,261436-M21508650088,2021,"Device, Monitoring, Intracranial Pressure",
Edan Instruments,IM3,261436-M21508650067,2021,"Device, Monitoring, Intracranial Pressure",
Edan Instruments,iT20,M21203860030,2021,Patient Monitor,
Edan Instruments,iT20,M21203860028,2021,Patient Monitor,
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108144EN,2021,Infusion Pump,
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108189EN,2021,Infusion Pump,
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108193EN,2021,Infusion Pump,
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108205EN,2021,Infusion Pump,
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108208EN,2021,Infusion Pump,
LINET,ELEGANZA 3,20210147025,2021,Hospital Bed,
LINET,ELEGANZA 3,20210147077,2021,Hospital Bed,
LINET,ELEGANZA 3,20210149187,2021,Hospital Bed,
LINET,ELEGANZA 3,20210101683,2021,Hospital Bed,
LINET,ELEGANZA 3,20210101685,2021,Hospital Bed,
LINET,ELEGANZA 3,20210147060,2021,Hospital Bed,
LINET,ELEGANZA 3,20210147032,2021,Hospital Bed,
Stryker,1061,2021005801196,2021,"System, Test, Beta-2-Microglobulin Immunological",
Stryker,1061,2021005801198,2021,"System, Test, Beta-2-Microglobulin Immunological",
Stryker,1061,2021005801199,2021,"System, Test, Beta-2-Microglobulin Immunological",
Stryker,1061,2021005801197,2021,"System, Test, Beta-2-Microglobulin Immunological",
ARJO INC.,FLOWTRON,2100053978,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100054510,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100067774,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100054523,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100054001,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100054283,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100054494,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100054522,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100054527,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100064600,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100064601,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100053935,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100053984,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100053991,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100064603,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100053980,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100053932,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100053928,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100054542,2021,"Sleeve, Limb, Compressible",
ARJO INC.,FLOWTRON,2100054511,2021,"Sleeve, Limb, Compressible",
ZOLL Medical,X Series,AR21A054264,January 2021,Automated External Defibrillators (Non-Wearable),
American Diagnostic,CE 1434,22192114,2022,Thermometer,
American Diagnostic,CE 1434,22192189,2022,Thermometer,
Edan Instruments,iT20,M22411170006,2022,Patient Monitor,
Edan Instruments,iT20,M22411170008,2022,Patient Monitor,
Stryker,1061,2022005800690,2022,"System, Test, Beta-2-Microglobulin Immunological",
Stryker,1061,2022005800345,2022,"System, Test, Beta-2-Microglobulin Immunological",
Stryker,1061,2022005800343,2022,"System, Test, Beta-2-Microglobulin Immunological",
Stryker,1061,2022005800691,2022,"System, Test, Beta-2-Microglobulin Immunological",
Stryker,1061,2022005800344,2022,"System, Test, Beta-2-Microglobulin Immunological",
ZOLL Medical,AEDPLUS,X22E470885,May 2022,Defibrillator,
ZOLL Medical,X Series,AR22E067679,May 2022,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,AEDPLUS,X22F478419,June 2022,Defibrillator,
ZOLL Medical,X Series,AR22L073058,December 2022,Automated External Defibrillators (Non-Wearable),
Edan Instruments,F9EXPRESS,560039-M23909480002,2023,Fetal Monitor,
Edan Instruments,SE1200EXPRESS,M23116470007,2023,ECG Machine,
Edan Instruments,SE1200EXPRESS,460016-M23116470013,2023,ECG Machine,
Edan Instruments,SE1200EXPRESS,460016-M23801490029,2023,ECG Machine,
Edan Instruments,SE1200EXPRESS,460016-M23801490022,2023,ECG Machine,
Edan Instruments,SE1200EXPRESS,460016-M23801490034,2023,ECG Machine,
Edan Instruments,SE1200EXPRESS,460016-M23801490035,2023,ECG Machine,
Edan Instruments,iT20,M23910480001,2023,Patient Monitor,
ZOLL Medical,RSERIES,AF23G169205,July 2023,Defibrillator,
ZOLL Medical,RSERIES,AF23G169292,July 2023,Defibrillator,
ZOLL Medical,RSERIES,AF23G169321,July 2023,Defibrillator,
ZOLL Medical,RSERIES,AF23G169315,July 2023,Defibrillator,
ZOLL Medical,RSERIES,AF23G169217,July 2023,Defibrillator,
ZOLL Medical,AEDPLUS,X23L761535,December 2023,Defibrillator,
ZOLL Medical,RSERIES,AF23L173769,December 2023,Defibrillator,
ZOLL Medical,RSERIES,AF23L173935,December 2023,Defibrillator,
American Diagnostic,CE 1434,C241870143,2024,Thermometer,
American Diagnostic,CE 1434,C241870093,2024,Thermometer,
American Diagnostic,CE 1434,C241843867,2024,Thermometer,
American Diagnostic,CE 1434,C241843922,2024,Thermometer,
American Diagnostic,CE 1434,C241843881,2024,Thermometer,
American Diagnostic,CE 1434,C241843806,2024,Thermometer,
Edan Instruments,IM3,262654-M24705640065,2024,"Device, Monitoring, Intracranial Pressure",
Edan Instruments,IM3,262654-M24903790011,2024,"Device, Monitoring, Intracranial Pressure",
Edan Instruments,IM3,262654-M24903790001,2024,"Device, Monitoring, Intracranial Pressure",
Edan Instruments,SE1200EXPRESS,460016-K24700210010,2024,ECG Machine,
Edan Instruments,SE1200EXPRESS,460016-M246096330015,2024,ECG Machine,
Edan Instruments,SE1200EXPRESS,M24A2930014,2024,ECG Machine,
Edan Instruments,SE1200EXPRESS,M24A02930002,2024,ECG Machine,
Edan Instruments,SE1200EXPRESS,M24A02930001,2024,ECG Machine,
Edan Instruments,iT20,M24402010037,2024,Patient Monitor,
Edan Instruments,iT20,M24402010035,2024,Patient Monitor,
Edan Instruments,iT20,M24402010034,2024,Patient Monitor,
Edan Instruments,iT20,M24408380006,2024,Patient Monitor,
Edan Instruments,iT20,M24408380010,2024,Patient Monitor,
Edan Instruments,iT20,M24408380009,2024,Patient Monitor,
Edan Instruments,iT20,M24408380008,2024,Patient Monitor,
Edan Instruments,iT20,M24408380007,2024,Patient Monitor,
Edan Instruments,iT20,M24408380001,2024,Patient Monitor,
Edan Instruments,iT20,M24408380003,2024,Patient Monitor,
Edan Instruments,iT20,M24408380004,2024,Patient Monitor,
Edan Instruments,iT20,M24A15750012,2024,Patient Monitor,
Edan Instruments,iT20,M24A15750016,2024,Patient Monitor,
Edan Instruments,iT20,M2415750004,2024,Patient Monitor,
Edan Instruments,iT20,M24A15750002,2024,Patient Monitor,
Edan Instruments,iT20,M24A15750003,2024,Patient Monitor,
Edan Instruments,iT20,M24A15750001,2024,Patient Monitor,
Edan Instruments,iT20,M24A15750018,2024,Patient Monitor,
Edan Instruments,iT20,M24A15750019,2024,Patient Monitor,
Edan Instruments,iT20,M24A15750011,2024,Patient Monitor,
Edan Instruments,iT20,M24A15750010,2024,Patient Monitor,
Edan Instruments,iT20,M24A15750009,2024,Patient Monitor,
Edan Instruments,iT20,M24408380002,2024,Patient Monitor,
Edan Instruments,iT20,M24408380005,2024,Patient Monitor,
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU20240630EN,2024,Infusion Pump,
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406267EN,2024,Infusion Pump,
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406209EN,2024,Infusion Pump,
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406190EN,2024,Infusion Pump,
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406189EN,2024,Infusion Pump,
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406183EN,2024,Infusion Pump,
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406249EN,2024,Infusion Pump,
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406266EN,2024,Infusion Pump,
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406252EN,2024,Infusion Pump,
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406237EN,2024,Infusion Pump,
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406187EN,2024,Infusion Pump,
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406188EN,2024,Infusion Pump,
LAB CORP.,642E,241013LB348,2024,Lab Analyzer,
LAB CORP.,642E,241013LB328,2024,Lab Analyzer,
LINET,ELEGANZA 4,20240217185,2024,Hospital Bed,
LINET,ELEGANZA 4,20240217163,2024,Hospital Bed,
LINET,ELEGANZA 4,20240217171,2024,Hospital Bed,
LINET,ELEGANZA 4,20240217177,2024,Hospital Bed,
LINET,ELEGANZA 4,20240219124,2024,Hospital Bed,
LINET,ELEGANZA 4,20240211343,2024,Hospital Bed,
LINET,ELEGANZA 4,20240211435,2024,Hospital Bed,
LINET,ELEGANZA 4,20240315321,2024,Hospital Bed,
ZOLL Medical,RSERIES,AF24A174904,January 2024,Defibrillator,
ZOLL Medical,RSERIES,AF24A174867,January 2024,Defibrillator,
ZOLL Medical,RSERIES,AF24C175990,March 2024,Defibrillator,
ZOLL Medical,RSERIES,AF24C175991,March 2024,Defibrillator,
ZOLL Medical,RSERIES,AF24E178300,May 2024,Defibrillator,
ZOLL Medical,RSERIES,AF24F178630,June 2024,Defibrillator,
ZOLL Medical,RSERIES,AF24F178395,June 2024,Defibrillator,
ZOLL Medical,RSERIES,AF24G179402,July 2024,Defibrillator,
ZOLL Medical,RSERIES,AF24G179173,July 2024,Defibrillator,
ZOLL Medical,RSERIES,AF24G178993,July 2024,Defibrillator,
ZOLL Medical,RSERIES,AF24G179155,July 2024,Defibrillator,
ZOLL Medical,RSERIES,AF24G179510,July 2024,Defibrillator,
ZOLL Medical,RSERIES,AF24G179180,July 2024,Defibrillator,
ZOLL Medical,RSERIES,AF24G179153,July 2024,Defibrillator,
ZOLL Medical,RSERIES,AF24G179186,July 2024,Defibrillator,
ZOLL Medical,RSERIES,AF24G179403,July 2024,Defibrillator,
ZOLL Medical,RSERIES,AF24G179158,July 2024,Defibrillator,
ZOLL Medical,RSERIES,AF24H179829,August 2024,Defibrillator,
ZOLL Medical,RSERIES,AF24I180367,September 2024,Defibrillator,
ZOLL Medical,X Series,AR25C090387,March 2025,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,RSERIES,AF25G186555,July 2025,Defibrillator,
ZOLL Medical,AEDPLUS,X25I944351,September 2025,Defibrillator,
ZOLL Medical,AEDPLUS,X25I944935,September 2025,Defibrillator,
ZOLL Medical,RSERIES,AF25J188748,October 2025,Defibrillator,
ZOLL Medical,RSERIES,AF25L189983,December 2025,Defibrillator,
Hillrom,P3200,J309AD1600,2030,Hospital Bed,Decoded year 2030 is in the future (current year: 2026). Decoder used the first 2-digit group in 'J309AD1600' as YY → 2030. The serial format for Hillrom P3200 may not follow this pattern.
Mindray,BENEVISION N15,FS-28042613,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Mindray,BENEVISION N15,FS-28042614,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Mindray,BENEVISION N15,FS-28042615,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Mindray,BENEVISION N15,F5-28042623,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Mindray,BENEVISION N15,FS-28042602,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Mindray,BENEVISION N15,FS-28042236,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Mindray,BENEVISION N15,F5-11025372,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
Mindray,EPM12MA,AH9-3C001824,,Patient Monitor,
Mindray,EPM12MA,AH9-3C001806,,Patient Monitor,
Mindray,EPM12MA,AH9-3A001717,,Patient Monitor,
Mindray,EPM12MA,AH9-3A001716,,Patient Monitor,
Mindray,EPM12MA,AH9-3A001721,,Patient Monitor,
Mindray,EPM12MA,AH9-3C001812,,Patient Monitor,
Mindray,EPM12MA,AH9-3A001718,,Patient Monitor,
Mindray,EPM12MA,AH9-3C001805,,Patient Monitor,
Mindray,EPM12MA,AH9-34001722,,Patient Monitor,
Mindray,EPM12MA,AH9-3C001789,,Patient Monitor,
Mindray,EPM12MA,AH9-3C001781,,Patient Monitor,
Mindray,EPM12MA,AH9-3C001814,,Patient Monitor,
Mindray,EPM12MA,AH9-3C001780,,Patient Monitor,
Mindray,EPM12MA,AH9-27000897,,Patient Monitor,
Mindray,EPM12MA,AH9-26000857,,Patient Monitor,
Mindray,EPM12MA,AH9-26000861,,Patient Monitor,
Mindray,EPM12MA,AH9-26000860,,Patient Monitor,
Mindray,EPM12MA,AH9-26000859,,Patient Monitor,
Olympus,CV190,7500545,,Endoscopy System,
Olympus,CV190,7500311,,Endoscopy System,
Olympus,CV190,7500445,,Endoscopy System,
Olympus,CV190,75500364,,Endoscopy System,
Olympus,CV190,7500389,,Endoscopy System,
Olympus,CV190,7500566,,Endoscopy System,
Philips,INTELLIVUE MP20,DE72870252,,Patient Monitor,
Philips,INTELLIVUE MP20,DE62229313,,Patient Monitor,
Philips,INTELLIVUE MP20,DE54011343,,Patient Monitor,
Philips,INTELLIVUE MP20,DE72832824,,Patient Monitor,
Philips,INTELLIVUE MP20,DE72870263,,Patient Monitor,
Philips,INTELLIVUE MP20,DE72856013,,Patient Monitor,
Philips,INTELLIVUE MP20,DE54011333,,Patient Monitor,
Philips,INTELLIVUE MP20,DE54011319,,Patient Monitor,
Philips,INTELLIVUE MP20,DE54011330,,Patient Monitor,
Philips,INTELLIVUE MP20,DE62223081,,Patient Monitor,
Philips,INTELLIVUE MP20,DE62229345,,Patient Monitor,
Philips,INTELLIVUE MP20,DE72856005,,Patient Monitor,
Philips,INTELLIVUE MP30,DE728A5916,,Patient Monitor,
Philips,INTELLIVUE MP50,DE82001700,,Patient Monitor,
Philips,INTELLIVUE MP50,DE82061694,,Patient Monitor,
Philips,INTELLIVUE MP50,DE82061728,,Patient Monitor,
Philips,INTELLIVUE MP50,DE82061726,,Patient Monitor,
Philips,INTELLIVUE MP50,DE82061785,,Patient Monitor,
Philips,INTELLIVUE MP50,DE82061747,,Patient Monitor,
Philips,INTELLIVUE MP50,DE82099472,,Patient Monitor,
Philips,INTELLIVUE MP50,DE82061749,,Patient Monitor,
Philips,INTELLIVUE MP50,DE82061730,,Patient Monitor,
Philips,INTELLIVUE MP50,DE82061733,,Patient Monitor,
Philips,INTELLIVUE MP50,DE82061720,,Patient Monitor,
Philips,INTELLIVUE MP50,82061692,,Patient Monitor,
Philips,INTELLIVUE MP50,DE82061717,,Patient Monitor,
Philips,INTELLIVUE MP50,DE82061736,,Patient Monitor,
Philips,INTELLIVUE MP50,DE82061763,,Patient Monitor,
Philips,INTELLIVUE MP50,DE82061695,,Patient Monitor,
Philips,INTELLIVUE MP50,DE882061716,,Patient Monitor,
Philips,INTELLIVUE MP50,DE82099502,,Patient Monitor,
Philips,INTELLIVUE MP50,DE82099483,,Patient Monitor,
Philips,INTELLIVUE MP50,DE82061791,,Patient Monitor,
Philips,INTELLIVUE MP50,DE820A3726,,Patient Monitor,
Philips,INTELLIVUE MX40,3569208,,"Detector And Alarm, Arrhythmia",
Philips,INTELLIVUE MX40,3569221,,"Detector And Alarm, Arrhythmia",
Philips,INTELLIVUE MX40,3569227,,"Detector And Alarm, Arrhythmia",
Philips,INTELLIVUE MX40,2569230,,"Detector And Alarm, Arrhythmia",
Philips,INTELLIVUE MX40,3569212,,"Detector And Alarm, Arrhythmia",
Philips,M3002A,DE73608832,,Oximeter,
Philips,M3002A,DE83623218,,Oximeter,
Welch Allyn,SURETEMPPLUS,7432348,,Thermometer,
Welch Allyn,SURETEMPPLUS,(21) 23038261,,Thermometer,
Welch Allyn,SURETEMPPLUS,747969,,Thermometer,
Welch Allyn,SURETEMPPLUS,7445105,,Thermometer,
Welch Allyn,SURETEMPPLUS,24519376,,Thermometer,
Welch Allyn,SURETEMPPLUS,074321PO,,Thermometer,
ZOLL Medical,M SERIES,T08103497,,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,M SERIES,T098109977,,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,M SERIES,T0787302,,Automated External Defibrillators (Non-Wearable),
HILL ROM,P1440,P216ME5983,,Hospital Bed,
HILL ROM,P1440,P216ME5974,,Hospital Bed,
HILL ROM,P1440,P216ME5972,,Hospital Bed,
HILL ROM,P1440,P09AME5255,,Hospital Bed,
HILL ROM,P1440,P164ME5640,,Hospital Bed,
HILL ROM,P1440,P216ME5982,,Hospital Bed,
HILL ROM,P1440,P216ME5981,,Hospital Bed,
HILL ROM,P1440,P217ME5992,,Hospital Bed,
HILL ROM,P1440,P216ME5980,,Hospital Bed,
HILL ROM,P1440,P2164E5977,,Hospital Bed,
HILL ROM,P1440,Q139ME8104,,Hospital Bed,
HILL ROM,P1440,Q139ME8102,,Hospital Bed,
HILL ROM,P1440,Q125ME8074,,Hospital Bed,
HILL ROM,P1440,Q126ME8091,,Hospital Bed,
HILL ROM,P1440,Q126ME8089,,Hospital Bed,
HILL ROM,P1440,Q126ME8092,,Hospital Bed,
HILL ROM,P1440,Q120ME8059,,Hospital Bed,
HILL ROM,P1440,Q126ME8088,,Hospital Bed,
HILL ROM,P1440,Q139ME8099,,Hospital Bed,
HILL ROM,P1440,Q120ME8057,,Hospital Bed,
HILL ROM,P1440,Q120ME8058,,Hospital Bed,
HILL ROM,P1440,Q125ME8078,,Hospital Bed,
HILL ROM,P1440,Q141ME8112,,Hospital Bed,
HILL ROM,P1440,Q139ME8103,,Hospital Bed,
HILL ROM,P1440,Q139ME8100,,Hospital Bed,
HILL ROM,P1440,Q139ME8105,,Hospital Bed,
HILL ROM,P1440,M171ME6632,,Hospital Bed,
HILL ROM,P1440,Q141ME8115,,Hospital Bed,
HILL ROM,P1440,Q125ME8022,,Hospital Bed,
HILL ROM,P1440,Q125ME8076,,Hospital Bed,
HILL ROM,P1440,0139ME8098,,Hospital Bed,
HILL ROM,P1440,Q145ME8148,,Hospital Bed,
HILL ROM,P3200,J121AD6108,,Hospital Bed,
HILL ROM,P3200,J303AD1205,,Hospital Bed,
HILL ROM,P3200,J304AD1213,,Hospital Bed,
HILL ROM,P3200,I288AD1837,,Hospital Bed,
HILL ROM,P3200,J121AD6107,,Hospital Bed,
HILL ROM,P3200,J304AD1237,,Hospital Bed,
HILL ROM,P3200,I288AD1864,,Hospital Bed,
HILL ROM,P3200,J140AD7282,,Hospital Bed,
HILL ROM,P3200,J304AD1225,,Hospital Bed,
HILL ROM,P3200,J129AD6633,,Hospital Bed,
HILL ROM,P3200,J303AD1201,,Hospital Bed,
HILL ROM,P3200,J128AD6593,,Hospital Bed,
HILL ROM,P3200,J304AD1247,,Hospital Bed,
HILL ROM,P3200,H195AD1457,,Hospital Bed,
HILL ROM,P3200,J141AD7277,,Hospital Bed,
HILL ROM,P3200,J128AD6595,,Hospital Bed,
HILL ROM,P3200,J312AD1963,,Hospital Bed,
HILL ROM,P3200,J148AD7733,,Hospital Bed,
HILL ROM,P3200,J128AD6617,,Hospital Bed,
HILL ROM,P3200,J121AD6110,,Hospital Bed,
HILL ROM,P3200,J304AD1215,,Hospital Bed,
HILL ROM,CENTURYP1400,L070HE0786,,Hospital Bed,
HILL ROM,CENTURYP1400,103AG0982,,Hospital Bed,
HILL ROM,CENTURYP1400,G192AG4641,,Hospital Bed,
HILL ROM,CENTURYP1400,L070HE0791,,Hospital Bed,
HILL ROM,CENTURYP1400,1039AG1009,,Hospital Bed,
HILL ROM,CENTURYP1400,L230HE3537,,Hospital Bed,
HILL ROM,CENTURYP1400,B334AG6731,,Hospital Bed,
HILL ROM,CENTURYP1400,B333AG6698,,Hospital Bed,
HILL ROM,CENTURYP1400,B333AG6701,,Hospital Bed,
HILL ROM,CENTURYP1400,B333AG6703,,Hospital Bed,
HILL ROM,CENTURYP1400,B334AG6725,,Hospital Bed,
HILL ROM,CENTURYP1400,B334AG6738,,Hospital Bed,
HILL ROM,CENTURYP1400,B334AG6737,,Hospital Bed,
HILL ROM,CENTURYP1400,B332AG6683,,Hospital Bed,
HILL ROM,CENTURYP1400,B334AG6727,,Hospital Bed,
HILL ROM,CENTURYP1400,B334AG6740,,Hospital Bed,
HILL ROM,CENTURYP1400,B333AG6695,,Hospital Bed,
HILL ROM,CENTURYP1400,B334AG6735,,Hospital Bed,
HILL ROM,CENTURYP1400,B333AG6797,,Hospital Bed,
HILL ROM,CENTURYP1400,B332AG6681,,Hospital Bed,
HILL ROM,CENTURYP1400,B333AG6699,,Hospital Bed,
HILL ROM,CENTURYP1400,B333AG6700,,Hospital Bed,
HILL ROM,CENTURYP1400,B333AG6706,,Hospital Bed,
HILL ROM,CENTURYP1400,B333AG6708,,Hospital Bed,
HILL ROM,CENTURYP1400,N177ME1533,,Hospital Bed,
HILL ROM,CENTURYP1400,B332AG6677,,Hospital Bed,
HILL ROM,CENTURYP1400,N177ME1539,,Hospital Bed,
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757686,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757504,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757280,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757194,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757377,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827871,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3828391,,"Pump, Infusion",
